Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","008","Albania","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","2877.01","X","Figure from international organizations"
"FBS","Food Balances (2010-)","008","Albania","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","2873.88","X","Figure from international organizations"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","3400.13","X","Figure from international organizations"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","3360.71","X","Figure from international organizations"
"FBS","Food Balances (2010-)","191","Croatia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","4160.48","X","Figure from international organizations"
"FBS","Food Balances (2010-)","191","Croatia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","4129.75","X","Figure from international organizations"
"FBS","Food Balances (2010-)","300","Greece","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","10633.27","X","Figure from international organizations"
"FBS","Food Balances (2010-)","300","Greece","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","10574.02","X","Figure from international organizations"
"FBS","Food Balances (2010-)","380","Italy","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","59877.43","X","Figure from international organizations"
"FBS","Food Balances (2010-)","380","Italy","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","59727.93","X","Figure from international organizations"
"FBS","Food Balances (2010-)","470","Malta","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","491.59","X","Figure from international organizations"
"FBS","Food Balances (2010-)","470","Malta","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","503.63","X","Figure from international organizations"
"FBS","Food Balances (2010-)","499","Montenegro","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","631.46","X","Figure from international organizations"
"FBS","Food Balances (2010-)","499","Montenegro","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","630.4","X","Figure from international organizations"
"FBS","Food Balances (2010-)","807","North Macedonia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","2113.49","X","Figure from international organizations"
"FBS","Food Balances (2010-)","807","North Macedonia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","2114.18","X","Figure from international organizations"
"FBS","Food Balances (2010-)","620","Portugal","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","10289.83","X","Figure from international organizations"
"FBS","Food Balances (2010-)","620","Portugal","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","10289.92","X","Figure from international organizations"
"FBS","Food Balances (2010-)","688","Serbia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","7433.82","X","Figure from international organizations"
"FBS","Food Balances (2010-)","688","Serbia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","7401.06","X","Figure from international organizations"
"FBS","Food Balances (2010-)","705","Slovenia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","2105.92","X","Figure from international organizations"
"FBS","Food Balances (2010-)","705","Slovenia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","2112.9","X","Figure from international organizations"
"FBS","Food Balances (2010-)","724","Spain","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","46792.04","X","Figure from international organizations"
"FBS","Food Balances (2010-)","724","Spain","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","47131.37","X","Figure from international organizations"
