Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","032","Argentina","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","44413.6","X","Figure from international organizations"
"FBS","Food Balances (2010-)","032","Argentina","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","44745.52","X","Figure from international organizations"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","11606.91","X","Figure from international organizations"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","11777.32","X","Figure from international organizations"
"FBS","Food Balances (2010-)","076","Brazil","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","210166.59","X","Figure from international organizations"
"FBS","Food Balances (2010-)","076","Brazil","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","211782.88","X","Figure from international organizations"
"FBS","Food Balances (2010-)","152","Chile","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","18701.45","X","Figure from international organizations"
"FBS","Food Balances (2010-)","152","Chile","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","19039.49","X","Figure from international organizations"
"FBS","Food Balances (2010-)","170","Colombia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","49276.96","X","Figure from international organizations"
"FBS","Food Balances (2010-)","170","Colombia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","50187.41","X","Figure from international organizations"
"FBS","Food Balances (2010-)","218","Ecuador","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","17015.67","X","Figure from international organizations"
"FBS","Food Balances (2010-)","218","Ecuador","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","17343.74","X","Figure from international organizations"
"FBS","Food Balances (2010-)","328","Guyana","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","785.51","X","Figure from international organizations"
"FBS","Food Balances (2010-)","328","Guyana","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","798.75","X","Figure from international organizations"
"FBS","Food Balances (2010-)","600","Paraguay","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","6443.33","X","Figure from international organizations"
"FBS","Food Balances (2010-)","600","Paraguay","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","6530.03","X","Figure from international organizations"
"FBS","Food Balances (2010-)","604","Peru","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","32203.94","X","Figure from international organizations"
"FBS","Food Balances (2010-)","604","Peru","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","32824.86","X","Figure from international organizations"
"FBS","Food Balances (2010-)","740","Suriname","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","593.72","X","Figure from international organizations"
"FBS","Food Balances (2010-)","740","Suriname","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","600.3","X","Figure from international organizations"
"FBS","Food Balances (2010-)","858","Uruguay","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","3427.04","X","Figure from international organizations"
"FBS","Food Balances (2010-)","858","Uruguay","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","3428.41","X","Figure from international organizations"
"FBS","Food Balances (2010-)","862","Venezuela (Bolivarian Republic of)","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","29825.65","X","Figure from international organizations"
"FBS","Food Balances (2010-)","862","Venezuela (Bolivarian Republic of)","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","28971.68","X","Figure from international organizations"
